name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,critic_score,user_score,rating,group_plat,ventas_totales
wii sports,Wii,2006,Sports,41.36,28.96,3.77,8.45,76.0,80.0,E,nintendo,82.54
super mario bros,NES,1985,Platform,29.08,3.58,6.81,0.77,,,,nintendo,40.24
mario kart wii,Wii,2008,Racing,15.68,12.76,3.79,3.29,82.0,83.0,E,nintendo,35.52
wii sports resort,Wii,2009,Sports,15.61,10.93,3.28,2.95,80.0,80.0,E,nintendo,32.77
pokemon red/pokemon blue,GB,1996,Role-Playing,11.27,8.89,10.22,1.0,,,,nintendo,31.38
tetris,GB,1989,Puzzle,23.2,2.26,4.22,0.58,,,,nintendo,30.26
new super mario bros,DS,2006,Platform,11.28,9.14,6.5,2.88,89.0,85.0,E,nintendo,29.8
wii play,Wii,2006,Misc,13.96,9.18,2.93,2.84,58.0,66.0,E,nintendo,28.91
new super mario bros wii,Wii,2009,Platform,14.44,6.94,4.7,2.24,87.0,84.0,E,nintendo,28.32
duck hunt,NES,1984,Shooter,26.93,0.63,0.28,0.47,,,,nintendo,28.31
nintendogs,DS,2005,Simulation,9.05,10.95,1.93,2.74,,,,nintendo,24.67
mario kart ds,DS,2005,Racing,9.71,7.47,4.13,1.9,91.0,86.0,E,nintendo,23.21
pokemon gold/pokemon silver,GB,1999,Role-Playing,9.0,6.18,7.2,0.71,,,,nintendo,23.09
wii fit,Wii,2007,Sports,8.92,8.03,3.6,2.15,80.0,77.0,E,nintendo,22.7
kinect adventures!,X360,2010,Misc,15.0,4.89,0.24,1.69,61.0,63.0,E,xbox,21.82
wii fit plus,Wii,2009,Sports,9.01,8.49,2.53,1.77,80.0,74.0,E,nintendo,21.8
grand theft auto v,PS3,2013,Action,7.02,9.09,0.98,3.96,97.0,82.0,M,play,21.05
grand theft auto: san andreas,PS2,2004,Action,9.43,0.4,0.41,10.57,95.0,90.0,M,play,20.81
super mario world,SNES,1990,Platform,12.78,3.75,3.54,0.55,,,,nintendo,20.62
brain age: train your brain in minutes a day,DS,2005,Misc,4.74,9.2,4.16,2.04,77.0,79.0,E,nintendo,20.14
pokemon diamond/pokemon pearl,DS,2006,Role-Playing,6.38,4.46,6.04,1.36,,,,nintendo,18.24
super mario land,GB,1989,Platform,10.83,2.71,4.18,0.42,,,,nintendo,18.14
super mario bros 3,NES,1988,Platform,9.54,3.44,3.84,0.46,,,,nintendo,17.28
grand theft auto v,X360,2013,Action,9.66,5.14,0.06,1.41,97.0,81.0,M,xbox,16.27
grand theft auto: vice city,PS2,2002,Action,8.41,5.49,0.47,1.78,95.0,87.0,M,play,16.15
pokemon ruby/pokemon sapphire,GBA,2002,Role-Playing,6.06,3.9,5.38,0.5,,,,nintendo,15.84
